model,reasoning_hop,context_length,T01,T04,delta_t04_minus_t01
gpt-5-2025-08-07,twohop,30000,0.8928571428571429,0.9326923076923077,3.9835164835164805
gpt-5-2025-08-07,twohop,40000,0.8269230769230769,0.9390243902439024,11.21013133208255
gpt-5-2025-08-07,twohop,50000,0.6666666666666666,1.0,33.333333333333336
gpt-5-2025-08-07,twohop,60000,0.8452380952380952,0.9519230769230769,10.668498168498164
gpt-5-2025-08-07,twohop,70000,0.8962264150943396,0.9230769230769231,2.6850507982583482
gpt-5-2025-08-07,twohop,80000,0.6451612903225806,1.0,35.483870967741936
gpt-5-2025-08-07,twohop,90000,0.8773584905660378,0.8170731707317073,-6.02853198343305
gpt-5-2025-08-07,twohop,100000,0.95,0.9423076923076923,-0.7692307692307665
gpt-5-2025-08-07,twohop,150000,1.0,1.0,0.0
gpt-5-2025-08-07,twohop,200000,0.8536585365853658,0.8833333333333333,2.967479674796747
gpt-5-2025-08-07,twohop,250000,0.9375,1.0,6.25
gpt-5-2025-08-07,twohop,300000,0.7261904761904762,0.9390243902439024,21.283391405342623
gpt-5-2025-08-07,twohop,350000,0.8125,1.0,18.75
gpt-5-2025-08-07,twohop,400000,0.8170731707317073,0.9830508474576272,16.59776767259199
gpt-5-2025-08-07,twohop,450000,0.9375,1.0,6.25
gpt-5-2025-08-07,twohop,500000,0.7596153846153846,0.9634146341463414,20.379924953095685
gpt-5-2025-08-07,twohop,600000,0.6538461538461539,0.875,22.115384615384613
gpt-5-2025-08-07,twohop,650000,0.9333333333333333,0.875,-5.833333333333335
gpt-5-2025-08-07,twohop,700000,0.7830188679245284,0.9333333333333333,15.0314465408805
gpt-5-2025-08-07,twohop,750000,0.875,1.0,12.5
gpt-5-2025-08-07,twohop,800000,0.7419354838709677,0.9736842105263158,23.174872665534807
gpt-5-2025-08-07,twohop,850000,0.75,1.0,25.0
gpt-5-2025-08-07,twohop,900000,0.55,0.7073170731707317,15.731707317073162
gpt-5-2025-08-07,twohop,950000,0.8125,0.9375,12.5
gpt-5-2025-08-07,twohop,1000000,0.6585365853658537,0.7439024390243902,8.536585365853655
o3-mini-2025-01-31,onehop,10000,0.8113207547169812,0.8461538461538461,3.483309143686497
o3-mini-2025-01-31,onehop,20000,0.8285714285714286,0.8076923076923077,-2.0879120879120916
o3-mini-2025-01-31,onehop,30000,0.8365384615384616,0.7980769230769231,-3.8461538461538436
o3-mini-2025-01-31,onehop,40000,0.7019230769230769,0.6538461538461539,-4.807692307692301
o3-mini-2025-01-31,onehop,50000,0.6585365853658537,0.8292682926829268,17.07317073170731
o3-mini-2025-01-31,onehop,60000,0.9333333333333333,0.6440677966101694,-28.92655367231639
o3-mini-2025-01-31,onehop,70000,0.6666666666666666,0.6707317073170732,0.40650406504065817
o3-mini-2025-01-31,onehop,80000,0.9473684210526315,0.7019230769230769,-24.544534412955464
o3-mini-2025-01-31,onehop,90000,0.75,0.8666666666666667,11.66666666666667
o3-mini-2025-01-31,onehop,100000,0.6226415094339622,0.8813559322033898,25.87144227694276
o3-mini-2025-01-31,onehop,150000,0.4375,0.7857142857142857,34.82142857142857
o3-mini-2025-01-31,onehop,200000,0.47619047619047616,0.5576923076923077,8.150183150183155
o3-mini-2025-01-31,onehop,250000,0.625,0.6428571428571429,1.7857142857142905
o3-mini-2025-01-31,onehop,300000,0.3333333333333333,0.2631578947368421,-7.017543859649122
o3-mini-2025-01-31,onehop,350000,0.375,0.4,2.500000000000002
o3-mini-2025-01-31,onehop,400000,0.3173076923076923,0.2692307692307692,-4.8076923076923075
o3-mini-2025-01-31,onehop,450000,0.375,0.375,0.0
o3-mini-2025-01-31,onehop,500000,0.21428571428571427,0.10344827586206896,-11.08374384236453
o3-mini-2025-01-31,onehop,600000,0.19811320754716982,0.15,-4.8113207547169825
o3-mini-2025-01-31,onehop,700000,0.2976190476190476,0.25,-4.761904761904762
o3-mini-2025-01-31,onehop,750000,0.3125,0.375,6.25
o3-mini-2025-01-31,twohop,10000,0.6826923076923077,0.7596153846153846,7.692307692307687
o3-mini-2025-01-31,twohop,20000,0.5545454545454546,0.5865384615384616,3.1993006993007
o3-mini-2025-01-31,twohop,30000,0.5673076923076923,0.4807692307692308,-8.653846153846152
o3-mini-2025-01-31,twohop,40000,0.5092592592592593,0.5096153846153846,0.035612535612528085
o3-mini-2025-01-31,twohop,50000,0.5357142857142857,0.4326923076923077,-10.3021978021978
